,January,February,March,April,May,June,July,August,September,October,November,December
00:00,0,0,0,0,0,0,,,,0,,0
01:00,0,0,0,0,0,0,,,,0,,0
02:00,0,0,0,0,0,0,,,,0,,0
03:00,0,0,0,0,0,0,,,,0,,0
04:00,0,0,0,0,0,0,,,,0,,0
05:00,0,0,0,0,0,44.39,,,,0,,0
06:00,0,0,0,0,0,121.33,,,,0,,0
07:00,0,0,0,0,0,254.08,,,,65.05,,0
08:00,0,0,0,0,0,404.36,,,,194.73,,0
09:00,82.48,0,0,0,0,540.99,,,,280.21,,48.96
10:00,448.8,0,0,0,0,639.09,,,,360.2,,246.06
11:00,547.29,0,0,0,0,710.38,,,,388.97,,221.59
12:00,613.9,0,0,0,0,745.17,,,,357.35,,422.55
13:00,367.29,0,0,0,0,711.16,,,,337.39,,248.09
14:00,300.32,0,0,0,0,637.32,,,,280.74,,189.41
15:00,222.28,0,0,0,0,526.56,,,,216.94,,51.16
16:00,0,0,0,0,0,373.26,,,,92.92,,0
17:00,0,0,0,0,0,222.31,,,,2.99,,0
18:00,0,0,0,0,0,88.36,,,,0,,0
19:00,0,0,0,0,0,32.15,,,,0,,0
20:00,0,0,0,0,0,0.07,,,,0,,0
21:00,0,0,0,0,0,0,,,,0,,0
22:00,0,0,0,0,0,0,,,,0,,0
23:00,0,0,0,0,0,0,,,,0,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,107.5983333,,,,,,,,,,,
